Year,Max
1996.344262,32.2
1996.346995,32.5
1996.349727,33
1996.352459,33
1996.355191,33.2
1996.357923,34.2
1996.360656,34.1
1996.363388,34.1
1996.36612,33
1996.368852,32.3
1996.371585,32.5
1996.374317,31.7
1996.377049,31.8
1996.379781,31.7
1996.382514,32.6
1996.385246,30.7
1996.387978,30.5
1996.39071,30.3
1996.393443,31.6
1996.396175,30.3
1996.398907,32.9
1996.401639,31.7
1996.404372,33.4
1996.407104,32.9
1996.409836,32.6
1996.412568,32.5
1996.415301,32.9
1996.418033,32.8
1996.420765,32.5
1996.423497,33.5
1996.42623,32.8
1996.428962,32.9
1996.431694,32.2
1996.434426,32.3
1996.437158,32
1996.439891,32.8
1996.442623,32.2
1996.445355,31.8
1996.448087,31.8
1996.45082,31.8
1996.453552,31.8
1996.456284,31.4
1996.459016,31.2
1996.461749,31.5
1996.464481,30.7
1996.467213,32.1
1996.469945,31
1996.472678,31.8
1996.47541,31.4
1996.478142,31
1996.480874,31.8
1996.483607,32.6
1996.486339,31.3
1996.489071,33.2
1996.491803,32.6
1996.494536,32.9
1996.497268,33.6
1996.5,32.2
1996.502732,32.3
1996.505464,31.7
1996.508197,31.5
1996.510929,33.1
1996.513661,32.9
1996.516393,31.7
1996.519126,31.2
1996.521858,31
1996.52459,31.1
1996.527322,31
1996.530055,30.1
1996.532787,29.2
1996.535519,29.9
1996.538251,30.5
1996.540984,30.1
1996.543716,30.4
1996.546448,29.8
1996.54918,30.5
1996.551913,33.5
1996.554645,33.5
1996.557377,31.9
1996.560109,31.2
1996.562842,30.6
1996.565574,29.3
1996.568306,29.8
1996.571038,28.1
1996.57377,29.4
1996.576503,30.8
1996.579235,29.9
1996.581967,29.4
1996.584699,29.9
1996.587432,29.9
1996.590164,30.2
1996.592896,30.5
1996.595628,30.2
1996.598361,31.6
1996.601093,31.6
1996.603825,30.6
1996.606557,31.3
1996.60929,32.1
1996.612022,32.2
1996.614754,31.3
1996.617486,32.2
1996.620219,33
1996.622951,31.5
1996.625683,32.3
1996.628415,30.8
1996.631148,32.9
1996.63388,33.1
1996.636612,31.2
1996.639344,31.7
1996.642077,30.5
1996.644809,30.9
1996.647541,33.3
1996.650273,33.9
1996.653005,32.4
1996.655738,32.2
1996.65847,31.9
1996.661202,31.5
1996.663934,34.3
1996.666667,30.6
1996.669399,32.6
1996.672131,33.7
1996.674863,32.7
1996.677596,34.7
1996.680328,33.6
1996.68306,33.5
1996.685792,32.6
1996.688525,31.5
1996.691257,32.4
1996.693989,31.4
1996.696721,31.6
1996.699454,31.5
1996.702186,34.4
1996.704918,34.6
1996.70765,34.5
1996.710383,34.7
1996.713115,34.7
1996.715847,34.6
1996.718579,32.9
1996.721311,35
1996.724044,32.2
1996.726776,32.8
1996.729508,32.1
1996.734973,32.8
1996.737705,32.7
1996.740437,32.2
1996.743169,33.3
1996.745902,33.4
1996.748634,33.7
1996.751366,33
1996.754098,35.2
1996.756831,35.2
1996.759563,35.3
1996.762295,33.3
1996.765027,33.5
1996.76776,34.3
1996.770492,32.4
1996.773224,32.1
1996.775956,33.2
1996.778689,32.8
1996.781421,35.4
1996.784153,32.9
1996.786885,33.6
1996.789617,33.4
1996.79235,33.2
1996.795082,33.7
1996.797814,29.3
1996.800546,33.4
1996.803279,33.2
1996.806011,34.4
1996.808743,34.1
1996.811475,34.7
1996.814208,34.3
1996.81694,32.8
1996.819672,33.3
1996.822404,33.6
1996.825137,34
1996.827869,34.2
1996.830601,34.6
1996.833333,33.9
1996.836066,34.9
1996.838798,33.6
1996.84153,32.9
1996.844262,31.8
1996.846995,31.9
1996.849727,30.4
1996.852459,33.5
1996.855191,34.8
1996.857923,34.8
1996.860656,35.2
1996.863388,35
1996.86612,33.9
1996.868852,33.6
1996.871585,34.2
1996.874317,33.5
1996.877049,34.4
1996.879781,34.4
1996.882514,33.9
1996.885246,33
1996.887978,32.9
1996.89071,33.3
1996.893443,35.3
1996.896175,35.2
1996.898907,34.1
1996.901639,32.9
1996.904372,31.6
1996.907104,35.2
1996.909836,34.3
1996.912568,33.6
1996.915301,33.9
1996.918033,33.6
1996.920765,34.1
1996.923497,34.4
1996.92623,33.4
1996.928962,33.3
1996.931694,31.2
1996.934426,32.7
1996.937158,32
1996.939891,32.3
1996.942623,31.7
1996.945355,32.4
1996.948087,32.6
1996.95082,33.7
1996.953552,33.1
1996.956284,31.7
1996.959016,33.3
1996.961749,31
1996.964481,32
1996.967213,31.9
1996.969945,30.5
1996.972678,32.1
1996.97541,31.5
1996.978142,33.2
1996.980874,31.2
1996.983607,29.4
1996.986339,28.7
1996.989071,30.4
1996.991803,30.2
1996.994536,28.4
1996.997268,29.7
1997,27.4
1997.00274,26.9
1997.005479,26.7
1997.008219,29.8
1997.010959,31.3
1997.013699,31.3
1997.016438,31.8
1997.019178,30.8
1997.021918,32.6
1997.024658,32.6
1997.027397,33
1997.030137,32.6
1997.032877,32.4
1997.035616,32.3
1997.038356,31.5
1997.041096,32.2
1997.043836,32.7
1997.046575,31.6
1997.049315,32.2
1997.052055,31.2
1997.054795,32.3
1997.057534,31.1
1997.060274,31.9
1997.063014,29.8
1997.065753,28.9
1997.068493,29.8
1997.071233,29.4
1997.073973,29.4
1997.076712,30
1997.079452,31.5
1997.082192,31.5
1997.084932,30.6
1997.087671,32.1
1997.090411,32.7
1997.093151,32
1997.09589,33.2
1997.09863,32.1
1997.10137,29.6
1997.10411,32.5
1997.106849,33.3
1997.109589,31.8
1997.112329,32
1997.115068,30.3
1997.117808,31.4
1997.120548,31.5
1997.123288,30.7
1997.126027,31.7
1997.128767,31.1
1997.131507,30
1997.134247,30.6
1997.136986,28.8
1997.139726,28.8
1997.142466,28.2
1997.145205,29.7
1997.147945,31
1997.150685,31
1997.153425,30.8
1997.156164,30.8
