Day,Open,High,Low,Close,AdjClose,Volume,Year
249,584.75,587,580,581,581,36,2024.677596
248,567.5,585.25,567.5,585.25,585.25,72,2024.674863
247,555.5,567.25,554.25,566.5,566.5,30,2024.672131
243,544,555,544,552.5,552.5,559,2024.661202
242,545,547,535,545.5,545.5,3169,2024.65847
241,537.25,547.5,533.75,544.75,544.75,8944,2024.655738
240,524.5,544,521.75,538.75,538.75,20254,2024.653005
239,522,525.5,512,525,525,22560,2024.650273
236,531,533.5,519.25,520,520,17359,2024.642077
235,536.5,540.5,521.25,529.25,529.25,16301,2024.639344
234,545.75,549.75,533.25,536.25,536.25,18640,2024.636612
233,539.75,548,538,546,546,16838,2024.63388
232,539.75,545,534.5,540.75,540.75,20497,2024.631148
229,536.25,543,531.25,539.75,539.75,24942,2024.622951
228,547.25,557.75,535.5,537,537,31045,2024.620219
227,547,552,542,546.25,546.25,27390,2024.617486
226,551.5,552,541,547.75,547.75,35884,2024.614754
225,552.75,558.75,540,548.25,548.25,54543,2024.612022
222,550.25,565.25,549.75,554,554,40892,2024.603825
221,555,561.75,548.25,551.5,551.5,38853,2024.601093
220,561,567.5,552.25,555.5,555.5,44489,2024.598361
219,560.25,566,552,561.5,561.5,35696,2024.595628
218,559,562.5,544.75,560.25,560.25,29024,2024.592896
215,553.75,562.75,550.5,559.75,559.75,24987,2024.584699
214,547.25,557.5,543,554.5,554.5,27633,2024.581967
213,548.75,557.75,539,549,549,32821,2024.579235
212,551.75,553.75,535.5,550.25,550.25,28330,2024.576503
211,546,555.25,540.75,553.5,553.5,22663,2024.57377
208,561,566.25,544.5,545.5,545.5,25736,2024.565574
207,565.5,569.75,555.5,561.5,561.5,19573,2024.562842
206,566,575.75,560,567.5,567.5,24247,2024.560109
205,571,576.75,562.25,566.75,566.75,19020,2024.557377
204,570.25,578.25,567,571.75,571.75,26315,2024.554645
201,560.25,579.5,557,570,570,23264,2024.546448
200,560.25,569.25,555.5,562.75,562.75,22685,2024.543716
199,548.5,567.75,547,561,561,22988,2024.540984
198,555,560.5,545.75,550.25,550.25,28893,2024.538251
197,569,571.75,550.25,555.5,555.5,32833,2024.535519
194,598,604,598,604,604,39334,2024.527322
193,605,605,591.25,591.25,591.25,1,2024.52459
192,573,576.25,566.75,573,573,63,2024.521858
191,584.75,586,581,581,581,18,2024.519126
190,590.75,591,572,573.5,573.5,68,2024.516393
187,593.75,595.25,593.75,595.25,595.25,12,2024.508197
185,593,594,581.5,581.5,581.5,46,2024.502732
184,595.75,598.75,592,593,593,21,2024.5
183,587.5,602.75,586.5,602.75,602.75,172,2024.497268
180,588.75,596.25,578,587.5,587.5,884,2024.489071
179,578,600,575,592,592,5136,2024.486339
178,576,590,572.5,580,580,10155,2024.483607
177,582.25,585.25,573.25,576,576,15638,2024.480874
176,581.5,585,571.75,581.5,581.5,15748,2024.478142
173,593.25,596.25,580,581.25,581.25,24266,2024.469945
172,601,603,585.75,592,592,27836,2024.467213
170,605.5,608.25,598.75,600.75,600.75,21868,2024.461749
169,626.25,626.5,604,605.5,605.5,26608,2024.459016
166,636,639.5,625.25,627.5,627.5,39752,2024.45082
165,635,641.5,629,636.75,636.75,41339,2024.448087
164,653,654,634,637.25,637.25,48540,2024.445355
163,643.25,659.75,639.5,655,655,44537,2024.442623
162,665.25,665.25,642.25,643.75,643.75,45867,2024.439891
159,677,677.25,655.5,665.75,665.75,48789,2024.431694
158,677.75,689.5,672.5,678,678,35739,2024.428962
157,687.25,693.75,672.75,676.25,676.25,32475,2024.42623
156,699.5,705.25,686.25,687.25,687.25,33851,2024.423497
155,713,728.5,697.5,700,700,40080,2024.420765
152,709,723.25,704,708.75,708.75,33435,2024.412568
151,719.25,720.5,704,709.5,709.5,29911,2024.409836
150,731.5,733.5,715.5,719.75,719.75,32075,2024.407104
149,734.25,746.25,722.25,731.25,731.25,43655,2024.404372
145,714,725.25,710.5,721.25,721.25,41777,2024.393443
144,700.75,715.25,690,710.75,710.75,31530,2024.39071
143,701,719.25,696.5,699.5,699.5,29545,2024.387978
142,696,706.5,689.25,701.5,701.5,29449,2024.385246
141,662,700.75,662,696.75,696.75,33876,2024.382514
138,673.25,685.5,660.25,661.75,661.75,26273,2024.374317
137,674,691.5,671.25,673.25,673.25,29742,2024.371585
136,684,706.75,674,675,675,33686,2024.368852
135,724,724,724,724,724,37506,2024.36612
