tau,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
45,-2.603114935,42.66705539,-31.9445077,-6.84411817,-12.1335623,81.41511377,21.43161512,-22.63684335,-30.39799891,-48.75492366
46,-13.18490683,55.67974683,-20.61630531,12.72075694,-16.36554816,55.70040506,29.20469439,-24.1473738,-26.28074891,-18.50810037
47,-3.773015433,41.02387301,-20.74966573,-15.22871587,-30.63331733,57.78199576,21.04584828,-24.63002085,-26.05415048,-40.68840736
48,-16.86015467,55.69199786,-14.65836302,-9.675318426,-20.38285317,62.71262943,9.548088502,-33.6352413,-25.62110007,-36.76580453
49,-12.93951687,74.52884678,-2.103385363,12.7966059,-21.75134702,57.91100954,12.35313345,-32.96385909,-28.00664424,-53.14812124
50,-15.81097727,58.85988323,18.6551668,8.839103099,-16.63940795,37.61058631,-7.632579534,-20.93669816,-16.32567286,-54.01685454
51,-11.47345314,30.56084686,19.56962449,2.052115108,-7.799182056,57.05129695,-31.05669913,-24.3238308,-28.8767054,-50.99449599
52,10.57274332,7.058945117,17.57577669,0.839873315,-10.1395963,36.32739478,-60.86634058,-7.312407371,-15.16130812,-39.80037459
53,-4.518502088,-7.5084017,14.94220232,-15.69386028,13.08065107,38.46424343,-76.05431257,1.211335604,-33.49019732,-23.39896539
54,-23.56485003,-0.10272634,13.68154553,-23.08210768,-12.26980904,25.20160492,-60.5876106,2.461196066,-70.27599157,-18.62067576
55,-18.87315218,-2.001104222,9.761924194,-25.31713108,-8.355861234,3.378542928,-51.36353515,-13.70599604,-56.2110153,-20.23531131
56,-21.8073138,4.871562396,-2.02702277,-19.24025769,-35.78895956,4.632041476,-29.38245561,11.45935736,-73.57012182,-13.05131771
57,-32.90961786,-11.62848208,-1.893433177,-27.99528464,-49.20680242,-0.078130963,-16.64732132,12.26559449,-89.5584408,-37.52064644
58,-39.47111341,-4.670313579,-5.469973919,-15.01967974,-43.92662469,-6.858961798,-7.466244919,12.53807357,-68.71465534,-28.37121616
59,-51.74837951,-24.72533103,-11.06433986,-8.400847524,-42.73604503,-6.194720138,-8.957148094,-0.793564669,-72.76781687,-10.30003039
60,-78.60272108,-20.87924545,4.452091043,3.695543999,-24.9738316,-23.50391207,11.95793758,-8.09570841,-69.6906912,11.45473369
61,-74.15688414,-10.94684186,4.701112942,-1.444281072,-42.40234931,-28.6157147,7.569539533,7.322035922,-56.01647046,48.49547375
62,-73.03504291,-3.854124695,24.32309992,-18.71335862,-47.91583007,-27.79768406,44.25502477,18.08265465,-58.74880442,60.26027402
63,-60.20580618,7.97950767,16.80277655,-41.63839687,-49.83873786,-23.17570248,38.4503215,19.96053571,-41.73819468,73.99473628
64,-57.07988734,13.02239083,-16.77287752,-62.40600463,-46.39669921,-23.80821545,16.40304799,0.858559486,-44.49609037,42.94447907
65,-49.74317523,11.77507454,10.29638527,-63.96360087,-59.28884897,-7.822856424,-3.410867687,4.766861596,-56.26918951,46.05436059
66,-33.080236,-0.757756353,-8.041078151,-72.64303705,-74.03364214,-24.54320807,-1.266302398,-12.55047517,-35.14175565,44.22590068
67,-38.64825967,7.85241525,-14.02948363,-45.73075513,-80.17700428,-9.659596088,18.63702973,-27.70976158,-38.41297907,42.39150705
68,-36.62965335,-1.012937081,4.807914064,-26.83642839,-75.87210522,5.55624737,21.78794084,-31.65106843,-31.97887414,45.8632681
69,-74.01036875,1.182043668,-3.172753256,-22.02628635,-65.65647344,-21.30791738,-5.068633933,-19.97056489,-39.0394243,39.38846193
70,-71.93953793,-3.910224001,-19.50451767,-23.68738522,-51.51249644,-23.38414593,-11.68362963,-7.405964072,-42.97453902,42.76690832
